# slug: slant-noir-100
# name: Slant: Film Noir
# curator: Slant Magazine
# published: 2019
# source: https://www.slantmagazine.com/film/the-100-best-film-noirs-of-all-time/
# ordered: true
1	In a Lonely Place	Nicholas Ray
2	Out of the Past	Jacques Tourneur
3	The Big Sleep	Howard Hawks
4	The Third Man	Carol Reed
5	Kiss Me Deadly	Robert Aldrich
6	Touch of Evil	Orson Welles
7	Chinatown	Roman Polanski
8	The Big Heat	Fritz Lang
9	The Long Goodbye	Robert Altman
10	Detour	Edgar G. Ulmer
11	Double Indemnity	Billy Wilder
12	Pickup on South Street	Samuel Fuller
13	Scarlet Street	Fritz Lang
14	The Maltese Falcon	John Huston
15	Sweet Smell of Success	Alexander Mackendrick
16	On Dangerous Ground	Nicholas Ray
17	Sunset Boulevard	Billy Wilder
18	The Lady from Shanghai	Orson Welles
19	The Night of the Hunter	Charles Laughton
20	Laura	Otto Preminger
21	Shoot the Piano Player	François Truffaut
22	Le Samouraï	Jean-Pierre Melville
23	Blue Velvet	David Lynch
24	The Killing of a Chinese Bookie	John Cassavetes
25	Night Moves	Arthur Penn
26	Blade Runner	Ridley Scott
27	The Wrong Man	Alfred Hitchcock
28	The Woman in the Window	Fritz Lang
29	Gilda	Charles Vidor
30	They Live by Night	Nicholas Ray
31	The Reckless Moment	Max Ophüls
32	Daisy Kenyon	Otto Preminger
33	Night and the City	Jules Dassin
34	Ace in the Hole	Billy Wilder
35	Odd Man Out	Carol Reed
36	Lost Highway	David Lynch
37	Breathless	Jean-Luc Godard
38	You Only Live Once	Fritz Lang
39	Mulholland Drive	David Lynch
40	Underworld U.S.A.	Samuel Fuller
41	Taxi Driver	Martin Scorsese
42	High and Low	Akira Kurosawa
43	Murder by Contract	Irving Lerner
44	The Killing	Stanley Kubrick
45	The Narrow Margin	Richard Fleischer
46	Moonrise	Frank Borzage
47	Point Blank	John Boorman
48	Force of Evil	Abraham Polonsky
49	Femme Fatale	Brian De Palma
50	Act of Violence	Fred Zinnemann
51	Gun Crazy	Joseph H. Lewis
52	Blood Simple	Joel and Ethan Cohen
53	Mildred Pierce	Michael Curtiz
54	Side Street	Anthony Mann
55	The Naked Kiss	Samuel Fuller
56	Basic Instinct	Paul Verhoeven
57	The Big Combo	Joseph H. Lewis
58	Cutter’s Way	Ivan Passer
59	The Prowler	Joseph Losey
60	Panique	Julien Duvivier
61	Vertigo	Alfred Hitchcock
62	Kansas City Confidential	Phil Karlson
63	Fargo	Joel and Ethan Coen
64	Ossessione	Luchino Visconti
65	The Tall Target	Anthony Mann
66	The Phenix City Story	Phil Karlson
67	Crime Wave	André De Toth
68	Quai des Orfèvres	Henri-Georges Clouzot
69	The Stranger	Orson Welles
70	Raw Deal	Anthony Mann
71	La Bête Humaine	Jean Renoir
72	You and Me	Fritz Lang
73	Mauvais Sang	Leos Carax
74	The Fallen Idol	Carol Reed
75	L.A. Confidential	Curtis Hanson
76	White Heat	Raoul Walsh
77	The Big Lebowski	Joel and Ethan Coen
78	Where the Sidewalk Ends	Otto Preminger
79	The Big Knife	Robert Aldrich
80	The Sound of Fury	Cy Endfield
81	La Nuit du Carrefour	Jean Renoir
82	Le Deuxieme Souffle	Jean-Pierre Melville
83	Crimson Kimono	Samuel Fuller
84	Ministry of Fear	Fritz Lang
85	Inherent Vice	Paul Thomas Anderson
86	The Breaking Point	Michael Curtiz
87	The Hitch-Hiker	Ida Lupino
88	Pépé le Moko	Julien Duvivier
89	Odds Against Tomorrow	Robert Wise
90	Elevator to the Gallows	Louis Malle
91	The Killers	Robert Siodmak
92	The Asphalt Jungle	John Huston
93	The Postman Always Rings Twice	Tay Garnett
94	The American Friend	Wim Wenders
95	While the City Sleeps	Fritz Lang
96	Caught	Max Ophüls
97	One False Move	Carl Franklin
98	Brighton Rock	John Boulting
99	Stolen Death	Nyrki Tapiovaara
100	House of Bamboo	Samuel Fuller
